Model,Accuracy,Recall_Bad,Recall_Good,F1_Score,ROC_AUC
Random Forest_Tuned,0.795,0.6451612903225806,0.8623188405797102,0.8530465949820788,0.805341280972417
Random Forest_Default,0.785,0.6290322580645161,0.855072463768116,0.8458781362007168,0.7908485273492285
SVM_Default,0.765,0.6451612903225806,0.8188405797101449,0.8278388278388278,0.7815568022440393
SVM_Tuned,0.765,0.6451612903225806,0.8188405797101449,0.8278388278388278,0.7815568022440393
Logistic Regression,0.76,0.6451612903225806,0.8115942028985508,0.8235294117647058,0.7812061711079944
XGBoost_Tuned,0.75,0.6129032258064516,0.8115942028985508,0.8175182481751825,0.7694015895278168
XGBoost_Default,0.755,0.5967741935483871,0.8260869565217391,0.8231046931407943,0.765895278167368
LightGBM,0.755,0.5806451612903226,0.8333333333333334,0.8243727598566308,0.7632071061243573
KNN,0.72,0.6612903225806451,0.7463768115942029,0.7862595419847328,0.7426951846657317
